p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.6492705,257.9679751396179
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,64, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),8.325102000000001,291.85002088546753
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,80, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),8.549084,326.08508944511414
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,8, , , , ,1.8073455,340.85202407836914
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,8, , , , ,1.6748545,356.08218574523926
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,8, , , , ,1.8645615,371.70060896873474
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,64,8, , , , ,1.657747,386.38077902793884
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.66815,401.6020300388336
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.6732105,416.28478050231934
 , , ,20,2048,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.4467895,429.84396171569824
 , , ,20,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.474337,442.96919465065
 , , ,20,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.4409334999999999,456.22004771232605
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),8.881974,491.509804725647
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,32,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.363615,504.64877915382385
 , , ,20,32,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.3550845,517.7874383926392
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,20, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.625699,534.8354096412659
 , , ,80,32,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.342614,548.0876657962799
 , , ,32,32,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.368301,561.1210668087006
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,32,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.3921165,574.299976348877
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.800564,591.1551659107208
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,32,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,1.4123805,604.2483110427856
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.6508045,619.7728271484375
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.6358875,636.405975818634
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,8, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.436163,649.7741568088531
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.3782625,663.0661106109619
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,1.0529345,674.8933515548706
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.4327744999999998,688.4584741592407
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20, , , , ,1.6337845,704.990186214447
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.3403855,717.9382903575897
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.6148609999999999,732.328607082367
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.834082,749.4477028846741
 , , ,50,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,1.4242474999999999,762.4538583755493
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,100,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.6457804999999999,778.678019285202
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.9756465,790.5586745738983
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,100,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.0493935,802.8566150665283
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,2048,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.0174715,814.6211066246033
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.3268985,830.0468266010284
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,100,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.6897775,844.0977244377136
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,8, , , , ,1.2538434999999999,856.9874451160431
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,100,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.231397,870.3051462173462
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.018379,883.1178839206696
 , , ,50,32,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.056041,895.4885754585266
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,100,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.259513,908.2244317531586
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,32,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.1331055,923.3809444904327
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.6422435,939.8527703285217
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.010845,951.8861727714539
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.6385765,968.7082369327545
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,16,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.1025174999999998,981.0506069660187
 , , ,4,20,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.092852,993.5265336036682
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.1118955000000001,1006.3593513965607
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,20, , , , ,1.6327444999999998,1023.0125997066498
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,16,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.1407474999999998,1037.1327164173126
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.647612,1054.2768473625183
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.0421835000000002,1066.2645030021667
 , , ,96,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.0574905,1078.5222549438477
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),0.9601965,1090.5253450870514
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,16,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.094495,1102.9865520000458
 , , ,50,2048,8, , , , ,0.9627060000000001,1114.7448539733887
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,100,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.017507,1126.8855819702148
 , , ,50,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,1.0414565,1138.739849805832
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,1.0222705,1151.3967592716217
 , , ,50,100,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.0450725,1163.4196770191193
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.641012,1180.1564486026764
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,20, , , , ,1.645944,1196.6189210414886
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.643602,1214.323092699051
 , , ,50,16,8, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.038187,1226.6851336956024
 , , ,32,16,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.0663665,1239.1114101409912
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.751575,1254.0642545223236
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.682375,1268.9515902996063
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,100,8, , , , ,1.0581975,1280.914230108261
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.9599975000000001,1292.5180478096008
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.9988885,1304.2891116142273
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,1.2011265,1316.6027154922485
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.964502,1328.2136027812958
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,100,8, , , , ,1.0171325,1340.125405550003
 , , ,32,80,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.0028765000000002,1352.559101343155
 , , ,32,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.9641925,1364.2343275547028
 , , ,20,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.9674395,1375.88139128685
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.829571,1390.9693455696106
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.9665904999999999,1402.753335237503
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,2048,8, , , , ,0.991747,1415.3155057430267
 , , ,64,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,1.0249655,1427.105422258377
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.9897805,1438.9353263378143
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,32,80,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),8.59947,1473.2693865299225
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.958788,1484.9575073719025
 , , ,100,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.0342004999999999,1496.9885635375977
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,32,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),1.1082435,1512.1461963653564
 , , ,16,32,256, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),9.863099,1550.2389314174652
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.9679249999999999,1561.965763092041
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,8, , , , ,0.970684,1573.640816450119
 , , ,16,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.9694685000000001,1585.3324327468872
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.9943869999999999,1597.1518816947937
 , , ,16,2048,8, , , , ,0.967221,1608.8212826251984
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.504058,1621.6173570156097
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),1.3302385,1636.1737413406372
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,50,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,7.842803,1669.1805963516235
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.568039,1682.3971164226532
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.7566885000000001,1695.4827735424042
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.439794,1709.5137839317322
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.4347065,1722.771761417389
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.6842524999999999,1736.017142534256
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.377542,1748.4300384521484
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.3812685,1760.8685746192932
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.3718805,1773.3846681118011
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.37553499999999995,1785.2306909561157
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.2956845,1797.1734533309937
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.3967525,1809.7616229057312
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,1.0243015,1821.985696554184
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.9290235,1833.6765756607056
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,0.28506750000000003,1845.496291399002
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.5018505,1858.2646279335022
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.5899745000000001,1871.2888610363007
 , , ,4,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.34485200000000005,1884.1771035194397
